"name","file","line_start","line_end","n_lines","class","rationale"
"import_polyfuzz","polyfuzz.R",20,30,11,"THIN_WRAPPER","Reticulate pass-through"
"import_rapidfuzz","polyfuzz.R",43,53,11,"THIN_WRAPPER","Reticulate pass-through"
"import_fuzz","polyfuzz.R",61,65,5,"STATIC","Short, no logic"
"import_jellyfish","polyfuzz.R",78,88,11,"THIN_WRAPPER","Reticulate pass-through"
"polyfuzz_save","polyfuzz.R",100,127,28,"STATIC","No clear logic signals (28L, 2)"
"polyfuzz_model","polyfuzz.R",146,169,24,"STATIC","No clear logic signals (24L, 4)"
"polyfuzz_match","polyfuzz.R",187,230,44,"REAL_LOGIC","Tibble munging + logic (6 constructs)"
"polyfuzz_tfidf","polyfuzz.R",246,262,17,"THIN_WRAPPER","Thin reticulate wrapper"
"polyfuzz_edit_distance","polyfuzz.R",275,292,18,"THIN_WRAPPER","Reticulate pass-through"
"polyfuzz_rapidmatcher","polyfuzz.R",307,325,19,"THIN_WRAPPER","Reticulate pass-through"
"polyfuzz_embeddings","polyfuzz.R",339,355,17,"THIN_WRAPPER","Thin reticulate wrapper"
"polyfuzz_sentence_embeddings","polyfuzz.R",370,386,17,"THIN_WRAPPER","Thin reticulate wrapper"
"polyfuzz_gensim_embeddings","polyfuzz.R",400,416,17,"THIN_WRAPPER","Thin reticulate wrapper"
"polyfuzz_spacy_embeddings","polyfuzz.R",430,446,17,"THIN_WRAPPER","Thin reticulate wrapper"
"polyfuzz_use_embeddings","polyfuzz.R",460,476,17,"THIN_WRAPPER","Thin reticulate wrapper"
"polyfuzz_transform","polyfuzz.R",490,497,8,"STATIC","No clear logic signals (8L, 1)"
"polyfuzz_fit","polyfuzz.R",509,518,10,"STATIC","No clear logic signals (10L, 1)"
"tbl_polyfuzz_matches","polyfuzz.R",529,532,4,"STATIC","Short, no logic"
"spacy_matching_pattern_dict_to_list","representation_models.R",20,22,3,"STATIC","Short, no logic"
"bertopic_representations","representation_models.R",56,66,11,"THIN_WRAPPER","Reticulate pass-through"
"keybert_inspired_representation","representation_models.R",85,109,25,"STATIC","<30L, no logic, no network"
"llama_cpp_representation","representation_models.R",130,180,51,"THIN_WRAPPER","Mid-size (51L, 4 constructs)"
"mmr_inspired_representation","representation_models.R",197,212,16,"STATIC","<30L, no logic, no network"
"cohere_representation","representation_models.R",229,250,22,"STATIC","<30L, no logic, no network"
"open_ai_representation","representation_models.R",276,317,42,"THIN_WRAPPER","Reticulate pass-through"
"part_of_speech_representation","representation_models.R",342,371,30,"THIN_WRAPPER","Mid-size (30L, 2 constructs)"
"zeroshot_representation","representation_models.R",388,406,19,"STATIC","<30L, no logic, no network"
"transformer_representation","representation_models.R",424,447,24,"STATIC","<30L, no logic, no network"
"langchain_representation","representation_models.R",467,499,33,"STATIC","No clear logic signals (33L, 1)"
"import_top2vec","top2vec.R",13,23,11,"THIN_WRAPPER","Reticulate pass-through"
"top2vec_model","top2vec.R",85,160,76,"THIN_WRAPPER","Mid-size (76L, 8 constructs)"
"top2vec_topic_size","top2vec.R",176,182,7,"STATIC","Short, no logic"
".parse_top2vec_topic","top2vec.R",184,190,7,"STATIC","Short, no logic"
"top2vec_topic_embeddings","top2vec.R",202,209,8,"STATIC","No clear logic signals (8L, 1)"
"tbl_top_2_vec_words_topics","top2vec.R",220,234,15,"STATIC","No clear logic signals (15L, 1)"
"top2vec_document_topics","top2vec.R",244,251,8,"STATIC","No clear logic signals (8L, 1)"
".top2vec_similar_word","top2vec.R",257,284,28,"REAL_LOGIC","Tibble munging + logic (3 constructs)"
"top2vec_similar_words","top2vec.R",299,318,20,"REAL_LOGIC","Tibble munging + logic (3 constructs)"
".dict_doc_names","utils-internal.R",6,36,31,"STATIC","No clear logic signals (31L, 0)"
".resolve_document_info_names","utils-internal.R",38,52,15,"REAL_LOGIC","Tibble munging + logic (3 constructs)"
".munge_aspect_column","utils-internal.R",56,229,174,"REAL_LOGIC","Tibble munging + logic (45 constructs)"
".munge_respresentation","utils-internal.R",231,284,54,"REAL_LOGIC","Tibble munging + logic (15 constructs)"
".bert_similar_term_topics","utils-internal.R",288,319,32,"REAL_LOGIC","Tibble munging + logic (3 constructs)"
"import_yake","yake.R",15,25,11,"THIN_WRAPPER","Reticulate pass-through"
".ke_doc_extractor","yake.R",27,44,18,"STATIC","No clear logic signals (18L, 1)"
"yake_keyword_extractor","yake.R",72,119,48,"REAL_LOGIC","Tibble munging + logic (7 constructs)"
